group_id,url,score,label
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m2951663409s-w2048_h1536.jpg,8,dining_room
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m3821005006s-w2048_h1536.jpg,8,living_room
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m4213321367s-w2048_h1536.jpg,3,bedroom
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m467001626s-w2048_h1536.jpg,10,kitchen
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m2055807173s-w2048_h1536.jpg,3,bedroom
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m2440270887s-w2048_h1536.jpg,8,living_room
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m270557241s-w2048_h1536.jpg,3,bedroom
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m2845202080s-w2048_h1536.jpg,8,living_room
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m3094108140s-w2048_h1536.jpg,10,outdoor
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m3204108009s-w2048_h1536.jpg,3,bedroom
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m3546782170s-w2048_h1536.jpg,8,living_room
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m3583165079s-w2048_h1536.jpg,8,living_room
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m3666100990s-w2048_h1536.jpg,8,living_room
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m573573749s-w2048_h1536.jpg,4,bedroom
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m678797986s-w2048_h1536.jpg,8,living_room
6bf16112723de3318c44641958638a56l,http://ap.rdcpix.com/6bf16112723de3318c44641958638a56l-m175148816s-w2048_h1536.jpg,-10,other
6bf16112723de3318c44641958638a56l,http://ap.rdcpix.com/6bf16112723de3318c44641958638a56l-m1787205297s-w2048_h1536.jpg,8,living_room
6bf16112723de3318c44641958638a56l,http://ap.rdcpix.com/6bf16112723de3318c44641958638a56l-m2120350899s-w2048_h1536.jpg,1,other
190d303f53bf80093db932836adcb0d8l,http://ap.rdcpix.com/190d303f53bf80093db932836adcb0d8l-m551278047s-w2048_h1536.jpg,8,dining_room
a66d135f3880a3a129908b5a8aaa56c5l,http://ap.rdcpix.com/a66d135f3880a3a129908b5a8aaa56c5l-m4056951840s-w2048_h1536.jpg,3,bedroom
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m1372109380s-w2048_h1536.jpg,3,bedroom
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m1592302325s-w2048_h1536.jpg,3,bedroom
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m2427644550s-w2048_h1536.jpg,3,bedroom
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m2569458340s-w2048_h1536.jpg,8,living_room
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m2598599916s-w2048_h1536.jpg,10,outdoor
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m3284294471s-w2048_h1536.jpg,10,living_room
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m3662233854s-w2048_h1536.jpg,8,kitchen
075c8bb8a73c45d71788e711edd9e8d5l,http://ap.rdcpix.com/075c8bb8a73c45d71788e711edd9e8d5l-m3862964385s-w2048_h1536.jpg,3,bedroom
07a0544f217db88fe2b06fd5d38f02a6l,http://ap.rdcpix.com/07a0544f217db88fe2b06fd5d38f02a6l-m2654709293s-w2048_h1536.jpg,10,living_room
